date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2024-12-01,Sporting Gijón,Córdoba,2–0,,,18746,Estadio Municipal El Molinón,
2024-12-02,Eibar,Cartagena,1–0,,,4029,Estadio Municipal de Ipurúa,
2024-12-06,CD Mirandés,Levante,2–1,,,3484,Estadio Municipal de Anduva,
2024-12-07,Elche,Cádiz,2–1,,,15019,Estadio Manuel Martínez Valero,
2024-12-07,Granada,Racing Sant,3–0,,,16345,Estadio Nuevo Los Cármenes,
2024-12-07,Dep La Coruña,Zaragoza,1–1,,,24257,Estadio Abanca-Riazor,
2024-12-07,Huesca,Eibar,2–1,,,3660,Estadio El Alcoraz,
2024-12-08,Racing Ferrol,Oviedo,1–5,,,6823,Estadio Municipal de A Malata,
2024-12-08,Málaga,Almería,1–1,,,25481,Estadio La Rosaleda,
2024-12-08,Albacete,Castellón,0–0,,,10516,Estadio Carlos Belmonte,
2024-12-08,Burgos,Eldense,1–0,,,7950,Estadio Municipal de El Plantío,
2024-12-08,Córdoba,Tenerife,3–0,,,14156,Estadio Nuevo Arcángel,
2024-12-09,Cartagena,Sporting Gijón,1–0,,,5083,Estadio Municipal Cartagonova,
