date,home_team,away_team,score,xg_home,xg_away,attendance,venue,match_report_url
2025-05-03,Burgos,Elche,0–1,,,8745,Estadio Municipal de El Plantío,
2025-05-04,Levante,Tenerife,1–1,,,16274,Estadio Ciudad de Valencia,
2025-05-04,Racing Ferrol,Zaragoza,1–2,,,2837,Estadio Municipal de A Malata,
2025-05-04,Cartagena,Racing Sant,1–0,,,2662,Estadio Municipal Cartagonova,
2025-05-04,Almería,Eldense,5–0,,,9256,UD Almería Stadium,
2025-05-04,Dep La Coruña,Albacete,5–1,,,15340,Estadio Abanca-Riazor,
2025-05-05,Castellón,Sporting Gijón,4–3,,,9426,Estadio SkyFi Castalia,
2025-05-09,Cádiz,Almería,2–1,,,13148,Estadio Nuevo Mirandilla,
2025-05-10,CD Mirandés,Castellón,3–2,,,4156,Estadio Municipal de Anduva,
2025-05-10,Sporting Gijón,Dep La Coruña,2–1,,,20782,Estadio Municipal El Molinón,
2025-05-10,Elche,Levante,1–3,,,28039,Estadio Manuel Martínez Valero,
2025-05-10,Burgos,Córdoba,3–2,,,8504,Estadio Municipal de El Plantío,
2025-05-10,Zaragoza,Cartagena,3–2,,,18715,Estadio de la Romareda,
2025-05-11,Racing Sant,Oviedo,1–1,,,22267,Campos de Sport de El Sardinero,
2025-05-11,Albacete,Huesca,3–2,,,8371,Estadio Carlos Belmonte,
2025-05-11,Eldense,Málaga,1–0,,,4338,Estadio Municipal Nuevo Pepico Amat,
2025-05-11,Tenerife,Racing Ferrol,0–0,,,9074,Estadio Heliodoro Rodríguez Lopéz,
2025-05-12,Granada,Eibar,0–2,,,14923,Estadio Nuevo Los Cármenes,
2025-05-16,Levante,Albacete,1–0,,,21177,Estadio Ciudad de Valencia,
2025-05-17,Dep La Coruña,Granada,2–3,,,19572,Estadio Abanca-Riazor,
2025-05-17,Eibar,Burgos,1–0,,,4401,Estadio Municipal de Ipurúa,
2025-05-17,Huesca,Elche,2–1,,,6194,Estadio El Alcoraz,
2025-05-17,Cartagena,Tenerife,1–0,,,1700,Estadio Municipal Cartagonova,
